ticker,short,long,strategy_cagr,bh_cagr,edge,strategy_sharpe,bh_sharpe,sharpe_edge,strategy_max_drawdown,bh_max_drawdown,round_trip_trades,pct_days_in_market
APD,50,200,-0.03406516533243775,0.04642221972805127,-0.08048738506048903,-0.12825508597163068,0.2114084727682885,-0.33966355873991916,-0.4449497500487488,-0.31765690205612007,6.5,61.15384615384616
FCX,5,50,0.1358389390721364,0.24228301678956354,-0.10644407771742714,0.46482410875061636,0.6321111105374103,-0.16728700178679395,-0.5606133713177923,-0.6208551829978715,29.0,56.95906432748538
FCX,5,100,0.18004739314491625,0.2962291366029508,-0.11618174345803456,0.5837036402788958,0.7168384590543819,-0.13313481877548616,-0.5033458270023534,-0.6060830116168151,17.5,56.74698795180723
FCX,5,150,0.06238198619462487,0.30334058986793155,-0.24095860367330668,0.269707804324378,0.725221147277513,-0.45551334295313495,-0.6437858199740388,-0.6060830116168149,19.5,59.006211180124225
FCX,5,200,0.059365125180440126,0.32522245738498,-0.2658573322045399,0.2663271608704159,0.7564526167520016,-0.4901254558815857,-0.6761163671687292,-0.6060830116168147,19.5,67.17948717948717
FCX,10,50,0.06603440921338777,0.24228301678956354,-0.17624860757617578,0.28365819517989566,0.6321111105374103,-0.34845291535751466,-0.654840173528705,-0.6208551829978715,24.0,56.783625730994146
FCX,10,100,0.15806238044913767,0.2962291366029508,-0.13816675615381313,0.5254630229363966,0.7168384590543819,-0.19137543611798535,-0.5451571832945771,-0.6060830116168151,11.5,57.22891566265061
FCX,10,150,0.14517039704910095,0.30334058986793155,-0.1581701928188306,0.4938632426222915,0.725221147277513,-0.2313579046552215,-0.5119123432123421,-0.6060830116168149,13.5,59.56521739130435
FCX,10,200,0.0638625428781523,0.32522245738498,-0.2613599145068277,0.2782312232083728,0.7564526167520016,-0.4782213935436288,-0.7150809666161057,-0.6060830116168147,13.5,66.73076923076923
FCX,20,50,0.19263874988787055,0.24228301678956354,-0.04964426690169299,0.6005888350918491,0.6321111105374103,-0.03152227544556119,-0.5234761158798953,-0.6208551829978715,20.0,56.37426900584796
